source,target,weight
2000-23_vehicle_noise_3_c074,2000-24_generator_noise_4_c094,0.858
2000-23_vehicle_noise_3_c074,2000-24_generator_noise_4_c095,0.941
2000-23_vehicle_noise_3_c074,2000-24_vehicle_and_generator_noise_1_c097,0.813
2000-23_vehicle_noise_3_c074,2000-27_airplane_01_c114,0.829
2000-23_vehicle_noise_3_c074,99-37_airplane_02_c143,0.807
2000-23_vehicle_noise_4_c075,2000-24_generator_noise_1_c080,0.807
2000-23_vehicle_noise_4_c075,2000-24_generator_noise_4_c092,0.949
2000-23_vehicle_noise_4_c075,2000-24_vehicle_and_generator_noise_1_c098,0.91
2000-23_vehicle_noise_4_c076,2000-24_generator_noise_2_c084,0.833
2000-23_vehicle_noise_4_c076,2000-24_generator_noise_4_c094,0.858
2000-23_vehicle_noise_4_c076,2000-24_generator_noise_4_c095,0.924
2000-23_vehicle_noise_4_c076,2000-24_vehicle_and_generator_noise_1_c097,0.84
2000-23_vehicle_noise_4_c077,2000-24_vehicle_noise_1_c101,0.874
2000-23_vehicle_noise_4_c077,2000-24_vehicle_noise_1_c107,0.847
2000-23_vehicle_noise_4_c077,2003-7_airplane_01_c125,0.803
2000-23_vehicle_noise_4_c077,99-37_airplane_and_vehicle_01_c145,0.803
2000-23_vehicle_noise_4_c077,99-45_vehicle_01_c164,0.802
2000-23_vehicle_noise_4_c078,2000-3_airplane_03_c118,0.929
2000-23_vehicle_noise_4_c078,J86-1_airplane_01_c211,0.84
2000-23_vehicle_noise_4_c079,2000-24_generator_noise_2_c083,0.82
2000-23_vehicle_noise_4_c079,2000-24_generator_noise_2_c084,0.812
2000-23_vehicle_noise_4_c079,2000-24_generator_noise_4_c096,0.859
2000-23_vehicle_noise_4_c079,2000-24_vehicle_and_generator_noise_1_c097,0.842
2000-23_vehicle_noise_4_c079,2000-24_vehicle_noise_1_c108,0.945
2000-24_generator_noise_1_c080,2000-24_generator_noise_4_c092,0.929
2000-24_generator_noise_2_c081,2000-24_vehicle_noise_1_c105,0.946
2000-24_generator_noise_2_c081,2000-24_vehicle_noise_1_c106,0.825
2000-24_generator_noise_2_c081,2002-2_airplane_01_c120,0.911
2000-24_generator_noise_2_c081,99-24_airplane_01_c138,0.911
2000-24_generator_noise_2_c081,99-24_airplane_01_c139,0.807
2000-24_generator_noise_2_c081,99-37_airplane_and_vehicle_01_c144,0.812
2000-24_generator_noise_2_c081,99-45_airplane_01_c148,0.819
2000-24_generator_noise_2_c081,99-45_airplane_03_c157,0.898
2000-24_generator_noise_2_c081,99-45_vehicle_01_c161,0.874
2000-24_generator_noise_2_c081,99-45_vehicle_01_c187,0.883
2000-24_generator_noise_2_c082,2000-24_generator_noise_3_c086,0.837
2000-24_generator_noise_2_c082,2000-24_generator_noise_3_c087,0.818
2000-24_generator_noise_2_c082,2000-3_airplane_02_c117,0.833
2000-24_generator_noise_2_c082,2000-3_airplane_03_c118,0.81
2000-24_generator_noise_2_c082,99-22A_airplane_01_c130,0.876
2000-24_generator_noise_2_c082,99-45_airplane_03_c155,0.823
2000-24_generator_noise_2_c082,99-45_vehicle_02_c193,0.827
2000-24_generator_noise_2_c083,2000-24_vehicle_and_generator_noise_1_c098,0.898
2000-24_generator_noise_2_c083,2000-24_vehicle_noise_1_c106,0.814
2000-24_generator_noise_2_c083,2000-24_vehicle_noise_1_c108,0.922
2000-24_generator_noise_2_c084,2000-24_vehicle_noise_1_c108,0.87
2000-24_generator_noise_2_c085,2000-3_airplane_02_c116,0.889
2000-24_generator_noise_2_c085,2002-2_airplane_01_c119,0.806
2000-24_generator_noise_2_c085,2003-7_airplane_01_c124,0.93
2000-24_generator_noise_2_c085,99-45_airplane_03_c154,0.857
2000-24_generator_noise_3_c086,2000-3_airplane_02_c117,0.914
2000-24_generator_noise_3_c086,2000-3_airplane_03_c118,0.801
2000-24_generator_noise_3_c086,99-22A_airplane_01_c130,0.813
2000-24_generator_noise_3_c086,99-24_airplane_01_c141,0.908
2000-24_generator_noise_3_c086,99-45_vehicle_01_c166,0.886
2000-24_generator_noise_3_c086,99-45_vehicle_01_c173,0.859
2000-24_generator_noise_3_c086,99-45_vehicle_01_c184,0.901
2000-24_generator_noise_3_c086,99-45_vehicle_01_c185,0.883
2000-24_generator_noise_3_c086,99-45_vehicle_02_c192,0.851
2000-24_generator_noise_3_c086,99-45_vehicle_02_c193,0.948
2000-24_generator_noise_3_c086,99-45_vehicle_02_c194,0.883
2000-24_generator_noise_3_c086,99-45_vehicle_02_c202,0.843
2000-24_generator_noise_3_c087,2000-24_generator_noise_4_c090,0.944
2000-24_generator_noise_3_c087,2003-7_airplane_01_c126,0.812
2000-24_generator_noise_3_c087,99-37_airplane_and_vehicle_01_c146,0.808
2000-24_generator_noise_4_c088,2000-24_vehicle_noise_1_c101,0.802
2000-24_generator_noise_4_c088,2000-24_vehicle_noise_1_c109,0.812
2000-24_generator_noise_4_c088,2000-24_vehicle_noise_1_c111,0.874
2000-24_generator_noise_4_c088,99-37_airplane_02_c142,0.833
2000-24_generator_noise_4_c088,99-37_airplane_02_c143,0.817
2000-24_generator_noise_4_c089,2000-24_vehicle_noise_1_c100,0.82
2000-24_generator_noise_4_c089,2002-2_airplane_01_c121,0.862
2000-24_generator_noise_4_c090,2003-7_airplane_01_c126,0.859
2000-24_generator_noise_4_c090,99-37_airplane_and_vehicle_01_c146,0.837
2000-24_generator_noise_4_c091,2000-24_vehicle_noise_1_c103,0.915
2000-24_generator_noise_4_c091,2000-24_vehicle_noise_1_c106,0.86
2000-24_generator_noise_4_c091,99-22A_airplane_01_c132,0.927
2000-24_generator_noise_4_c091,99-24_airplane_01_c139,0.954
2000-24_generator_noise_4_c091,99-45_airplane_01_c148,0.924
2000-24_generator_noise_4_c091,99-45_airplane_03_c154,0.877
2000-24_generator_noise_4_c091,99-45_vehicle_01_c188,0.905
2000-24_generator_noise_4_c091,99-45_vehicle_01_c190,0.93
2000-24_generator_noise_4_c092,2000-24_vehicle_and_generator_noise_1_c098,0.908
2000-24_generator_noise_4_c093,2000-24_generator_noise_4_c094,0.908
2000-24_generator_noise_4_c093,2000-24_generator_noise_4_c095,0.843
2000-24_generator_noise_4_c093,2000-24_vehicle_noise_2_c113,0.901
2000-24_generator_noise_4_c093,2000-27_airplane_01_c114,0.918
2000-24_generator_noise_4_c094,2000-24_generator_noise_4_c095,0.937
2000-24_generator_noise_4_c094,2000-24_vehicle_and_generator_noise_1_c097,0.948
2000-24_generator_noise_4_c095,2000-24_vehicle_and_generator_noise_1_c097,0.884
2000-24_generator_noise_4_c095,2000-27_airplane_01_c114,0.863
2000-24_generator_noise_4_c096,2000-24_vehicle_noise_1_c106,0.917
2000-24_generator_noise_4_c096,2000-24_vehicle_noise_1_c112,0.912
2000-24_generator_noise_4_c096,2002-2_airplane_01_c120,0.924
2000-24_generator_noise_4_c096,99-45_vehicle_01_c187,0.868
2000-24_vehicle_and_generator_noise_1_c098,2000-24_vehicle_noise_1_c106,0.819
2000-24_vehicle_and_generator_noise_1_c098,99-45_vehicle_01_c188,0.85
2000-24_vehicle_noise_1_c099,2000-24_vehicle_noise_1_c112,0.876
2000-24_vehicle_noise_1_c101,2000-24_vehicle_noise_1_c107,0.863
2000-24_vehicle_noise_1_c101,2000-27_airplane_01_c114,0.895
2000-24_vehicle_noise_1_c101,2003-7_airplane_01_c125,0.807
2000-24_vehicle_noise_1_c101,99-37_airplane_02_c143,0.858
2000-24_vehicle_noise_1_c102,99-45_vehicle_01_c166,0.933
2000-24_vehicle_noise_1_c102,99-45_vehicle_02_c202,0.917
2000-24_vehicle_noise_1_c102,J86-1_airplane_01_c211,0.915
2000-24_vehicle_noise_1_c103,2000-3_airplane_02_c116,0.807
2000-24_vehicle_noise_1_c103,2003-7_airplane_01_c124,0.813
2000-24_vehicle_noise_1_c103,99-22A_airplane_01_c132,0.802
2000-24_vehicle_noise_1_c103,99-24_airplane_01_c139,0.825
2000-24_vehicle_noise_1_c103,99-45_airplane_01_c148,0.933
2000-24_vehicle_noise_1_c103,99-45_airplane_03_c154,0.844
2000-24_vehicle_noise_1_c104,2002-2_airplane_01_c121,0.89
2000-24_vehicle_noise_1_c104,99-45_vehicle_01_c186,0.804
2000-24_vehicle_noise_1_c105,2002-2_airplane_01_c120,0.84
2000-24_vehicle_noise_1_c105,99-24_airplane_01_c138,0.918
2000-24_vehicle_noise_1_c105,99-37_airplane_and_vehicle_01_c144,0.892
2000-24_vehicle_noise_1_c105,99-45_airplane_03_c157,0.907
2000-24_vehicle_noise_1_c105,99-45_vehicle_01_c174,0.835
2000-24_vehicle_noise_1_c105,99-45_vehicle_01_c187,0.875
2000-24_vehicle_noise_1_c106,2000-24_vehicle_noise_1_c112,0.824
2000-24_vehicle_noise_1_c106,2002-2_airplane_01_c120,0.926
2000-24_vehicle_noise_1_c106,99-24_airplane_01_c139,0.817
2000-24_vehicle_noise_1_c106,99-45_vehicle_01_c187,0.816
2000-24_vehicle_noise_1_c106,99-45_vehicle_01_c188,0.822
2000-24_vehicle_noise_1_c107,99-37_airplane_02_c143,0.832
2000-24_vehicle_noise_1_c109,2000-24_vehicle_noise_1_c110,0.876
2000-24_vehicle_noise_1_c109,99-37_airplane_02_c142,0.866
2000-24_vehicle_noise_1_c109,99-45_vehicle_01_c189,0.912
2000-24_vehicle_noise_1_c109,99-45_vehicle_02_c201,0.829
2000-24_vehicle_noise_1_c109,99-45_vehicle_02_c203,0.819
2000-24_vehicle_noise_1_c110,99-45_vehicle_01_c164,0.902
2000-24_vehicle_noise_1_c110,99-45_vehicle_01_c165,0.873
2000-24_vehicle_noise_1_c111,99-37_airplane_02_c143,0.848
2000-24_vehicle_noise_1_c112,2002-2_airplane_01_c120,0.917
2000-27_airplane_01_c114,2000-27_airplane_01_c115,0.805
2000-27_airplane_01_c114,2003-7_airplane_01_c125,0.828
2000-27_airplane_01_c115,99-45_vehicle_02_c210,0.812
2000-3_airplane_02_c116,2002-2_airplane_01_c119,0.974
2000-3_airplane_02_c116,99-45_airplane_03_c154,0.882
2000-3_airplane_02_c116,99-45_vehicle_01_c177,0.805
2000-3_airplane_02_c116,99-45_vehicle_01_c179,0.879
2000-3_airplane_02_c117,2000-3_airplane_03_c118,0.864
2000-3_airplane_02_c117,99-22A_airplane_01_c130,0.883
2000-3_airplane_02_c117,99-24_airplane_01_c141,0.855
2000-3_airplane_02_c117,99-45_vehicle_01_c166,0.824
2000-3_airplane_02_c117,99-45_vehicle_01_c181,0.801
2000-3_airplane_02_c117,99-45_vehicle_01_c184,0.951
2000-3_airplane_02_c117,99-45_vehicle_01_c185,0.874
2000-3_airplane_02_c117,99-45_vehicle_02_c192,0.957
2000-3_airplane_02_c117,99-45_vehicle_02_c193,0.91
2000-3_airplane_02_c117,99-45_vehicle_02_c194,0.802
2000-3_airplane_03_c118,99-45_vehicle_01_c184,0.809
2000-3_airplane_03_c118,99-45_vehicle_02_c192,0.849
2002-2_airplane_01_c119,99-45_vehicle_01_c177,0.844
2002-2_airplane_01_c119,99-45_vehicle_01_c179,0.903
2002-2_airplane_01_c120,99-45_vehicle_01_c187,0.858
2002-2_airplane_01_c122,99-45_vehicle_02_c196,0.814
2003-7_airplane_01_c123,99-45_vehicle_01_c170,0.881
2003-7_airplane_01_c124,99-45_airplane_03_c154,0.836
2003-7_airplane_01_c125,99-37_airplane_02_c143,0.811
99-22A_airplane_01_c130,99-24_airplane_01_c141,0.873
99-22A_airplane_01_c132,99-22A_airplane_01_c133,0.905
99-22A_airplane_01_c132,99-24_airplane_01_c139,0.929
99-22A_airplane_01_c132,99-45_airplane_03_c154,0.954
99-22A_airplane_01_c132,99-45_vehicle_01_c188,0.971
99-22A_airplane_01_c132,99-45_vehicle_01_c190,0.984
99-22A_airplane_01_c133,99-24_airplane_01_c139,0.857
99-22A_airplane_01_c133,99-45_vehicle_01_c188,0.892
99-22A_airplane_01_c133,99-45_vehicle_01_c190,0.888
99-22A_airplane_01_c133,99-45_vehicle_02_c206,0.89
99-22A_airplane_01_c134,99-22A_airplane_01_c135,0.991
99-22A_airplane_01_c134,99-45_vehicle_01_c181,0.822
99-22A_airplane_01_c135,99-45_vehicle_01_c181,0.826
99-22A_airplane_01_c136,99-45_vehicle_01_c170,0.831
99-24_airplane_01_c138,99-45_airplane_01_c148,0.883
99-24_airplane_01_c138,99-45_airplane_03_c157,0.809
99-24_airplane_01_c138,99-45_vehicle_01_c174,0.931
99-24_airplane_01_c138,99-45_vehicle_01_c187,0.869
99-24_airplane_01_c139,99-45_airplane_01_c148,0.846
99-24_airplane_01_c139,99-45_airplane_03_c154,0.838
99-24_airplane_01_c139,99-45_vehicle_01_c161,0.848
99-24_airplane_01_c139,99-45_vehicle_01_c188,0.915
99-24_airplane_01_c139,99-45_vehicle_01_c190,0.919
99-24_airplane_01_c141,99-45_vehicle_01_c166,0.827
99-24_airplane_01_c141,99-45_vehicle_01_c173,0.842
99-24_airplane_01_c141,99-45_vehicle_01_c185,0.899
99-24_airplane_01_c141,99-45_vehicle_02_c202,0.875
99-37_airplane_02_c142,99-45_vehicle_02_c197,0.819
99-37_airplane_02_c142,99-45_vehicle_02_c210,0.828
99-37_airplane_and_vehicle_01_c144,99-45_vehicle_02_c204,0.808
99-37_airplane_and_vehicle_01_c145,99-45_vehicle_01_c164,0.915
99-37_airplane_and_vehicle_01_c145,99-45_vehicle_01_c165,0.92
99-37_airplane_and_vehicle_01_c146,99-45_airplane_03_c155,0.832
99-37_airplane_and_vehicle_01_c146,99-45_vehicle_01_c182,0.867
99-37_airplane_and_vehicle_01_c146,99-45_vehicle_02_c205,0.806
99-45_airplane_01_c147,99-45_vehicle_01_c189,0.819
99-45_airplane_01_c147,99-45_vehicle_02_c201,0.945
99-45_airplane_01_c147,99-45_vehicle_02_c203,0.841
99-45_airplane_01_c148,99-45_vehicle_01_c174,0.806
99-45_airplane_01_c148,99-45_vehicle_01_c187,0.801
99-45_airplane_01_c148,99-45_vehicle_01_c190,0.804
99-45_airplane_03_c154,99-45_vehicle_01_c188,0.872
99-45_airplane_03_c154,99-45_vehicle_01_c190,0.903
99-45_vehicle_01_c161,99-45_vehicle_01_c170,0.891
99-45_vehicle_01_c162,99-45_vehicle_01_c163,0.86
99-45_vehicle_01_c163,99-45_vehicle_01_c165,0.863
99-45_vehicle_01_c163,99-45_vehicle_01_c171,0.805
99-45_vehicle_01_c164,99-45_vehicle_01_c165,0.953
99-45_vehicle_01_c164,99-45_vehicle_01_c186,0.884
99-45_vehicle_01_c165,99-45_vehicle_01_c180,0.808
99-45_vehicle_01_c165,99-45_vehicle_01_c186,0.825
99-45_vehicle_01_c166,99-45_vehicle_01_c173,0.836
99-45_vehicle_01_c166,99-45_vehicle_01_c185,0.83
99-45_vehicle_01_c166,99-45_vehicle_02_c191,0.83
99-45_vehicle_01_c166,99-45_vehicle_02_c192,0.809
99-45_vehicle_01_c166,99-45_vehicle_02_c193,0.859
99-45_vehicle_01_c166,99-45_vehicle_02_c194,0.897
99-45_vehicle_01_c166,99-45_vehicle_02_c202,0.977
99-45_vehicle_01_c166,J86-1_airplane_01_c211,0.804
99-45_vehicle_01_c167,99-45_vehicle_01_c181,0.918
99-45_vehicle_01_c169,99-45_vehicle_02_c197,0.833
99-45_vehicle_01_c173,99-45_vehicle_01_c176,0.932
99-45_vehicle_01_c173,99-45_vehicle_01_c185,0.918
99-45_vehicle_01_c173,99-45_vehicle_02_c193,0.859
99-45_vehicle_01_c173,99-45_vehicle_02_c194,0.9
99-45_vehicle_01_c173,99-45_vehicle_02_c202,0.832
99-45_vehicle_01_c174,99-45_vehicle_01_c187,0.824
99-45_vehicle_01_c175,99-45_vehicle_01_c183,0.939
99-45_vehicle_01_c176,99-45_vehicle_01_c185,0.815
99-45_vehicle_01_c177,99-45_vehicle_01_c179,0.868
99-45_vehicle_01_c178,99-45_vehicle_01_c183,0.846
99-45_vehicle_01_c181,99-45_vehicle_02_c192,0.823
99-45_vehicle_01_c182,99-45_vehicle_02_c191,0.882
99-45_vehicle_01_c182,99-45_vehicle_02_c205,0.903
99-45_vehicle_01_c183,99-45_vehicle_02_c191,0.878
99-45_vehicle_01_c184,99-45_vehicle_01_c185,0.886
99-45_vehicle_01_c184,99-45_vehicle_02_c192,0.973
99-45_vehicle_01_c184,99-45_vehicle_02_c193,0.958
99-45_vehicle_01_c184,99-45_vehicle_02_c194,0.861
99-45_vehicle_01_c185,99-45_vehicle_02_c192,0.851
99-45_vehicle_01_c185,99-45_vehicle_02_c193,0.899
99-45_vehicle_01_c185,99-45_vehicle_02_c194,0.815
99-45_vehicle_01_c185,99-45_vehicle_02_c202,0.839
99-45_vehicle_01_c188,99-45_vehicle_01_c190,0.977
99-45_vehicle_01_c189,99-45_vehicle_02_c201,0.931
99-45_vehicle_01_c189,99-45_vehicle_02_c203,0.863
99-45_vehicle_01_c190,99-45_vehicle_02_c206,0.806
99-45_vehicle_02_c191,99-45_vehicle_02_c202,0.842
99-45_vehicle_02_c191,J86-1_airplane_01_c211,0.821
99-45_vehicle_02_c192,99-45_vehicle_02_c193,0.923
99-45_vehicle_02_c192,99-45_vehicle_02_c194,0.865
99-45_vehicle_02_c193,99-45_vehicle_02_c194,0.914
99-45_vehicle_02_c194,99-45_vehicle_02_c202,0.822
99-45_vehicle_02_c196,99-45_vehicle_02_c204,0.855
99-45_vehicle_02_c198,99-45_vehicle_02_c199,0.835
99-45_vehicle_02_c198,99-45_vehicle_02_c203,0.807
99-45_vehicle_02_c199,99-45_vehicle_02_c201,0.884
99-45_vehicle_02_c199,99-45_vehicle_02_c203,0.898
99-45_vehicle_02_c201,99-45_vehicle_02_c203,0.937
